"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs7563201-<b>G</b>,"3 x 10-10",,0.54,1.13,'-,[1.09–1.17],THADA,"Polycystic ovary syndrome","polycystic ovary syndrome",'-,GCST003144,2:43334641
rs1351592-<b>G</b>,"1 x 10-12",,0.17,1.18,'-,[1.13–1.23],ERBB4,"Polycystic ovary syndrome","polycystic ovary syndrome",'-,GCST003144,2:212529988
rs11225154-<b>A</b>,"8 x 10-11",,0.09,1.22,'-,[1.15–1.29],YAP1,"Polycystic ovary syndrome","polycystic ovary syndrome",'-,GCST003144,11:102172509
rs11031006-<b>A</b>,"1 x 10-9",,0.14,1.16,'-,[1.11–1.22],FSHB,"Polycystic ovary syndrome","polycystic ovary syndrome",'-,GCST003144,11:30204981
rs13164856-<b>T</b>,"4 x 10-9",,0.73,1.13,'-,[1.09–1.18],"IRF1-AS1, IRF1","Polycystic ovary syndrome","polycystic ovary syndrome",'-,GCST003144,5:132477512
rs1275468-<b>C</b>,"2 x 10-8",,0.75,1.13,'-,[1.08–1.18],KRR1,"Polycystic ovary syndrome","polycystic ovary syndrome",'-,GCST003144,12:75541377
rs7312770-<b>C</b>,"2 x 10-7",,0.47,1.1,'-,[1.06–1.15],"RPS26, ERBB3","Polycystic ovary syndrome","polycystic ovary syndrome",'-,GCST003144,12:56073803
rs7218361-<b>A</b>,"1 x 10-6",,0.04,1.25,'-,[1.14–1.37],"NEUROD2, CDK12","Polycystic ovary syndrome","polycystic ovary syndrome",'-,GCST003144,17:39569151
rs10760321-<b>A</b>,"1 x 10-6",,0.71,1.11,'-,[1.07–1.16],LHX2,"Polycystic ovary syndrome","polycystic ovary syndrome",'-,GCST003144,9:124101917
rs78025940-<b>A</b>,"2 x 10-10",,0.02,4.75,'-,[2.82-7.98],"KAZN, KAZN-AS1","Polycystic ovary syndrome (reproductive subtype)","polycystic ovary syndrome",'-,GCST010570,1:14404304
rs76182733-<b>G</b>,"3 x 10-9",,0.01,5.68,'-,3.00-10.78,"IQCA1, ACKR3","Polycystic ovary syndrome (reproductive subtype)","polycystic ovary syndrome",'-,GCST010570,2:236518238
rs17023134-<b>G</b>,"1 x 10-8",,0.05,3.02,'-,2.06-4.42,UNC5C,"Polycystic ovary syndrome (reproductive subtype)","polycystic ovary syndrome",'-,GCST010570,4:95183520
rs7735176-<b>A</b>,"1 x 10-8",,0.01,5.09,'-,2.62-9.86,"BTG4P1, CDH10","Polycystic ovary syndrome (reproductive subtype)","polycystic ovary syndrome",'-,GCST010570,5:24728347
