"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs117733692-<b>?</b>,"1 x 10-6",,NR,3.332,'-,'-,MSRA,"Asthma-chronic obstructive  pulmonary disease overlap syndrome","Chronic Obstructive Asthma",'-,GCST007521,8:10186480
rs3772010-<b>?</b>,"3 x 10-6",,NR,2.89,'-,'-,RNF144A,"Asthma-chronic obstructive  pulmonary disease overlap syndrome","Chronic Obstructive Asthma",'-,GCST007521,2:6960080
rs11665213-<b>?</b>,"7 x 10-6",,NR,2.232,'-,'-,MIR4527HG,"Asthma-chronic obstructive  pulmonary disease overlap syndrome","Chronic Obstructive Asthma",'-,GCST007521,18:47496342
rs1677005-<b>?</b>,"8 x 10-6",,NR,2.618,'-,'-,"TAF4B, LINC01543","Asthma-chronic obstructive  pulmonary disease overlap syndrome","Chronic Obstructive Asthma",'-,GCST007521,18:26403713
rs35614679-<b>?</b>,"8 x 10-6",,NR,2.996,'-,'-,TAF4B,"Asthma-chronic obstructive  pulmonary disease overlap syndrome","Chronic Obstructive Asthma",'-,GCST007521,18:26315873
rs2070901-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,FCER1G,"Atopic asthma","atopic asthma",'-,GCST009850,1:161215268
rs61816761-<b>?</b>,"2 x 10-48",,NR,'-,'-,'-,"FLG, FLG-AS1","Atopic asthma","atopic asthma",'-,GCST009850,1:152313385
rs72702900-<b>?</b>,"9 x 10-21",,NR,'-,'-,'-,"LCE1D, LCE1C","Atopic asthma","atopic asthma",'-,GCST009850,1:152799487
rs12123821-<b>?</b>,"2 x 10-34",,NR,'-,'-,'-,FLG-AS1,"Atopic asthma","atopic asthma",'-,GCST009850,1:152206676
rs7523907-<b>?</b>,"4 x 10-11",,NR,'-,'-,'-,CD247,"Atopic asthma","atopic asthma",'-,GCST009850,1:167458010
rs71625139-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,RORC,"Atopic asthma","atopic asthma",'-,GCST009850,1:151829917
rs55875222-<b>?</b>,"2 x 10-14",,NR,'-,'-,'-,"TDRKH-AS1, TDRKH","Atopic asthma","atopic asthma",'-,GCST009850,1:151790858
rs12144049-<b>?</b>,"2 x 10-21",,NR,'-,'-,'-,"FLG-AS1, LCE5A","Atopic asthma","atopic asthma",'-,GCST009850,1:152468434
rs138726443-<b>?</b>,"4 x 10-10",,NR,'-,'-,'-,"FLG-AS1, FLG","Atopic asthma","atopic asthma",'-,GCST009850,1:152307547
rs1552994-<b>?</b>,"5 x 10-11",,NR,'-,'-,'-,FLG-AS1,"Atopic asthma","atopic asthma",'-,GCST009850,1:152198985
rs61815704-<b>?</b>,"2 x 10-21",,NR,'-,'-,'-,"IVL, LINC01527","Atopic asthma","atopic asthma",'-,GCST009850,1:152921415
rs2065206-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,"LCE1D, LCE1C","Atopic asthma","atopic asthma",'-,GCST009850,1:152798817
rs4845604-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,RORC,"Atopic asthma","atopic asthma",'-,GCST009850,1:151829204
rs3828058-<b>?</b>,"2 x 10-11",,NR,'-,'-,'-,RORC,"Atopic asthma","atopic asthma",'-,GCST009850,1:151813805
rs2230624-<b>?</b>,"9 x 10-10",,NR,'-,'-,'-,TNFRSF8,"Atopic asthma","atopic asthma",'-,GCST009850,1:12115601
rs4491070-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,TNFRSF8,"Atopic asthma","atopic asthma",'-,GCST009850,1:12069994
rs11811856-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,TNFSF4,"Atopic asthma","atopic asthma",'-,GCST009850,1:173202534
rs2422254-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,"SLC25A38P1, AIMP1P2","Atopic asthma","atopic asthma",'-,GCST009850,1:172810693
rs1917534-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"CD247, POU2F1","Atopic asthma","atopic asthma",'-,GCST009850,1:167428034
rs4286272-<b>?</b>,"4 x 10-14",,NR,'-,'-,'-,RFTN2,"Atopic asthma","atopic asthma",'-,GCST009850,2:197670954
rs6755198-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,AP1S3,"Atopic asthma","atopic asthma",'-,GCST009850,2:223799091
rs34143604-<b>?</b>,"9 x 10-9",,NR,'-,'-,'-,THAP4,"Atopic asthma","atopic asthma",'-,GCST009850,2:241622595
rs2647003-<b>?</b>,"3 x 10-13",,NR,'-,'-,'-,"MTCO3P1, HLA-DQB1","Atopic asthma","atopic asthma",'-,GCST009850,6:32697103
rs7770794-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,IPCEF1,"Atopic asthma","atopic asthma",'-,GCST009850,6:154306689
rs151027268-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,"TAP2, HLA-DOB","Atopic asthma","atopic asthma",'-,GCST009850,6:32821623
rs2229094-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,LTA,"Atopic asthma","atopic asthma",'-,GCST009850,6:31572779
rs28559870-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,MICA,"Atopic asthma","atopic asthma",'-,GCST009850,6:31410197
rs9266289-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,"HLA-B, DHFRP2","Atopic asthma","atopic asthma",'-,GCST009850,6:31360979
rs41273040-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,MICB,"Atopic asthma","atopic asthma",'-,GCST009850,6:31507279
rs41285280-<b>?</b>,"6 x 10-15",,NR,'-,'-,'-,PTPRK,"Atopic asthma","atopic asthma",'-,GCST009850,6:127970504
rs3819720-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,TAP2,"Atopic asthma","atopic asthma",'-,GCST009850,6:32836793
rs2904789-<b>?</b>,"5 x 10-11",,NR,'-,'-,'-,MICB-DT,"Atopic asthma","atopic asthma",'-,GCST009850,6:31484655
rs443863-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,"NOTCH4, TSBP1-AS1","Atopic asthma","atopic asthma",'-,GCST009850,6:32233814
rs2390314-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,ITGB8,"Atopic asthma","atopic asthma",'-,GCST009850,7:20416355
rs78823938-<b>?</b>,"5 x 10-9",,NR,'-,'-,'-,JAZF1,"Atopic asthma","atopic asthma",'-,GCST009850,7:28101332
rs1012177-<b>?</b>,"4 x 10-9",,NR,'-,'-,'-,STEAP1B,"Atopic asthma","atopic asthma",'-,GCST009850,7:22571094
rs35621564-<b>?</b>,"7 x 10-10",,NR,'-,'-,'-,EEF1A1P27,"Atopic asthma","atopic asthma",'-,GCST009850,7:20547220
rs13263709-<b>?</b>,"1 x 10-16",,NR,'-,'-,'-,RNU6-1213P,"Atopic asthma","atopic asthma",'-,GCST009850,8:80374940
rs117137535-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,ARRDC1,"Atopic asthma","atopic asthma",'-,GCST009850,9:137605991
rs2159778-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,TRAF1,"Atopic asthma","atopic asthma",'-,GCST009850,9:120915851
rs3003612-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,DNM1,"Atopic asthma","atopic asthma",'-,GCST009850,9:128226337
rs66632892-<b>?</b>,"4 x 10-13",,NR,'-,'-,'-,"KIAA2026, AK4P4","Atopic asthma","atopic asthma",'-,GCST009850,9:5866925
rs41280733-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,"RIC1, ERMP1","Atopic asthma","atopic asthma",'-,GCST009850,9:5765648
rs10975660-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,GLDC,"Atopic asthma","atopic asthma",'-,GCST009850,9:6583518
rs76962799-<b>?</b>,"1 x 10-26",,NR,'-,'-,'-,GTF3AP1,"Atopic asthma","atopic asthma",'-,GCST009850,9:6187132
rs2169287-<b>?</b>,"2 x 10-31",,NR,'-,'-,'-,"TPD52L3, SELENOTP1","Atopic asthma","atopic asthma",'-,GCST009850,9:6305904
rs149045797-<b>?</b>,"1 x 10-12",,NR,'-,'-,'-,IL33,"Atopic asthma","atopic asthma",'-,GCST009850,9:6252690
rs12420744-<b>?</b>,"2 x 10-14",,NR,'-,'-,'-,GVQW3,"Atopic asthma","atopic asthma",'-,GCST009850,11:76402977
rs12718488-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,"LRRC32, LINC02757","Atopic asthma","atopic asthma",'-,GCST009850,11:76655646
rs2213020-<b>?</b>,"1 x 10-13",,NR,'-,'-,'-,THAP12,"Atopic asthma","atopic asthma",'-,GCST009850,11:76323657
rs1892954-<b>?</b>,"9 x 10-11",,NR,'-,'-,'-,"LINC02757, EMSY","Atopic asthma","atopic asthma",'-,GCST009850,11:76561595
rs60748394-<b>?</b>,"1 x 10-9",,NR,'-,'-,'-,"LINC02757, EMSY","Atopic asthma","atopic asthma",'-,GCST009850,11:76556723
rs2618070-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,THAP12,"Atopic asthma","atopic asthma",'-,GCST009850,11:76324763
rs705699-<b>?</b>,"4 x 10-16",,NR,'-,'-,'-,RAB5B,"Atopic asthma","atopic asthma",'-,GCST009850,12:55991020
rs3024971-<b>?</b>,"3 x 10-24",,NR,'-,'-,'-,STAT6,"Atopic asthma","atopic asthma",'-,GCST009850,12:57099944
rs17547610-<b>?</b>,"1 x 10-15",,NR,'-,'-,'-,LRP1,"Atopic asthma","atopic asthma",'-,GCST009850,12:57136558
rs3122929-<b>?</b>,"4 x 10-25",,NR,'-,'-,'-,STAT6,"Atopic asthma","atopic asthma",'-,GCST009850,12:57115319
rs61946386-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,"HNF1A-AS1, RPL12P33","Atopic asthma","atopic asthma",'-,GCST009850,12:120926222
rs62623446-<b>?</b>,"2 x 10-10",,NR,'-,'-,'-,TESPA1,"Atopic asthma","atopic asthma",'-,GCST009850,12:54974507
rs7325747-<b>?</b>,"8 x 10-12",,NR,'-,'-,'-,UBAC2,"Atopic asthma","atopic asthma",'-,GCST009850,13:99377678
rs8008961-<b>?</b>,"2 x 10-14",,NR,'-,'-,'-,RAD51B,"Atopic asthma","atopic asthma",'-,GCST009850,14:68285926
rs10152595-<b>?</b>,"9 x 10-14",,NR,'-,'-,'-,SMAD3,"Atopic asthma","atopic asthma",'-,GCST009850,15:67183150
rs8043253-<b>?</b>,"3 x 10-10",,NR,'-,'-,'-,EXD1,"Atopic asthma","atopic asthma",'-,GCST009850,15:41211532
rs12440111-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,"ITPKA, RTF1","Atopic asthma","atopic asthma",'-,GCST009850,15:41490523
rs34986765-<b>?</b>,"6 x 10-14",,NR,'-,'-,'-,RORA,"Atopic asthma","atopic asthma",'-,GCST009850,15:60777002
rs922782-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,RORA,"Atopic asthma","atopic asthma",'-,GCST009850,15:60777984
