"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs6110809-<b>A</b>,"7 x 10-6",,0.160,1.81,'-,[1.40-2.34],MACROD2,"Thyroid-associated orbitopathy in graves' disease","Graves ophthalmopathy","Graves disease",GCST003640,20:15870432
rs2843403-<b>C</b>,"8 x 10-7",,0.638,1.1904762,'-,[1.11-1.27],MMEL1,"Graves' disease","Graves disease",'-,GCST005526,1:2597658
rs1534422-<b>G</b>,"5 x 10-6",,0.455,1.16,'-,[1.09–1.24],MIR3681HG,"Graves' disease","Graves disease",'-,GCST005526,2:12500615
rs13093110-<b>T</b>,"8 x 10-7",,0.452,1.18,'-,[1.10–1.26],LPP,"Graves' disease","Graves disease",'-,GCST005526,3:188407332
rs72928038-<b>A</b>,"4 x 10-6",,0.177,1.21,'-,[1.12–1.32],BACH2,"Graves' disease","Graves disease",'-,GCST005526,6:90267049
imm_6_167338101-<b>A</b>,"3 x 10-7",,0.592,1.1904762,'-,[1.11-1.27],'-,"Graves' disease","Graves disease",'-,GCST005526,"Mapping not available"
rs4409785-<b>C</b>,"5 x 10-6",,0.173,1.21,'-,[1.11–1.31],"FAM76B, SESN3","Graves' disease","Graves disease",'-,GCST005526,11:95578258
rs4768412-<b>T</b>,"3 x 10-7",,0.363,1.19,'-,[1.11–1.27],PRICKLE1,"Graves' disease","Graves disease",'-,GCST005526,12:42475338
rs57348955-<b>G</b>,"4 x 10-8",,0.604,1.2048193,'-,[1.12-1.30],"PRSS36, NDUFA3P6","Graves' disease","Graves disease",'-,GCST005526,16:31174561
rs2476601-<b>A</b>,"4 x 10-16",,0.0962,1.55,'-,[1.41-1.71],PTPN22,"Graves' disease","Graves disease",'-,GCST005526,1:113834946
rs11571297-<b>G</b>,"3 x 10-23",,0.507,1.4,'-,[1.3-1.49],"ICOS, CTLA4","Graves' disease","Graves disease",'-,GCST005526,2:203880280
rs706779-<b>A</b>,"2 x 10-6",,0.533,1.1764705,'-,[1.1-1.25],IL2RA,"Graves' disease","Graves disease",'-,GCST005526,10:6056861
rs2300519-<b>A</b>,"1 x 10-38",,0.38,1.54,'-,[1.44-1.64],TSHR,"Graves' disease","Graves disease",'-,GCST005526,14:80992418
rs1569723-<b>A</b>,"4 x 10-9",,0.614705531,1.2041003,'-,[1.131835944-1.280978518],"CD40, RPL13P2","Graves' disease","Graves disease",'-,GCST90013683,20:46113425
rs2049218-<b>T</b>,"5 x 10-8",,0.388945975,0.84102017,'-,[0.790299076-0.894996529],LPP,"Graves' disease","Graves disease",'-,GCST90013683,3:188405190
rs113284964-<b>GCTTC</b>,"8 x 10-9",,0.720185463,0.81656873,'-,[0.762321679-0.874676061],"RHOH, LINC02265","Graves' disease","Graves disease",'-,GCST90013683,4:40305571
rs10673095-<b>TTC</b>,"2 x 10-9",,0.347099987,0.81347036,'-,[0.760330701-0.870324013],"CASC19, PCAT1","Graves' disease","Graves disease",'-,GCST90013683,8:127190780
rs4134408-<b>C</b>,"4 x 10-17",,NR,0.7945902,'-,[0.753083063596273-0.838385048555476],"KIF4CP, CTHRC1P1","Graves' disease","Graves disease",'-,GCST90013683,X:79238163
rs11571292-<b>A</b>,"1 x 10-14",,0.612933989,1.277188,'-,[1.200332662-1.35896404],"CTLA4, RNU6-474P","Graves' disease","Graves disease",'-,GCST90013683,2:203855416
rs2317230-<b>T</b>,"2 x 10-9",,0.400867799,1.2149632,'-,[1.140628053-1.294142861],"VDAC1P9, FCRL3","Graves' disease","Graves disease",'-,GCST90013683,1:157705207
rs117201373-<b>G</b>,"3 x 10-13",,0.06503645,1.600151,'-,[1.409976234-1.815975894],"SLAMF6, VANGL2","Graves' disease","Graves disease",'-,GCST90013683,1:160450150
rs11065783-<b>G</b>,"7 x 10-14",,0.269047383,1.3369094,'-,[1.239013287-1.442540335],LINC01405,"Graves' disease","Graves disease",'-,GCST90013683,12:110958445
